p  x y rho rhoE rhoVel0 rhoVel1 s_rho s_rhoE s_rhoVel0 s_rhoVel1 H2 H O O2 OH H2O HO2 H2O2 C CH CH2 CH2(S) CH3 CH4 CO CO2 HCO CH2O CH2OH CH3O CH3OH C2H C2H2 C2H3 C2H4 C2H5 C2H6 HCCO CH2CO HCCOH N NH NH2 NH3 NNH NO NO2 N2O HNO CN HCN H2CN HCNN HCNO HOCN HNCO NCO AR C3H7 C3H8 CH2CHO CH3CHO N2 s_H2 s_H s_O s_O2 s_OH s_H2O s_HO2 s_H2O2 s_C s_CH s_CH2 s_CH2(S) s_CH3 s_CH4 s_CO s_CO2 s_HCO s_CH2O s_CH2OH s_CH3O s_CH3OH s_C2H s_C2H2 s_C2H3 s_C2H4 s_C2H5 s_C2H6 s_HCCO s_CH2CO s_HCCOH s_N s_NH s_NH2 s_NH3 s_NNH s_NO s_NO2 s_N2O s_HNO s_CN s_HCN s_H2CN s_HCNN s_HCNO s_HOCN s_HNCO s_NCO s_AR s_C3H7 s_C3H8 s_CH2CHO s_CH3CHO s_N2
662 75 76.4844 0.234294182527766 214382.2199257436 0 0 -4.963701968835689e-16 -4.541851767927145e-10 0 0 0 0 1.017259377347673e-18 0.05381393076794293 6.007192655622975e-41 0 3.641966775630346e-39 0 2.522874576835406e-42 0 1.252441817765624e-44 0 0 2.257572582356661e-50 2.317719569643076e-43 4.795817883047663e-48 1.481603051743003e-40 5.889677779246617e-48 2.243837149020738e-46 0 2.191985758618231e-51 6.687514268318103e-49 0 0 7.044854001415347e-51 2.766105483290753e-46 3.23905248756383e-52 0 0 9.392053206630333e-52 3.130428357056927e-31 0 2.817668620947022e-51 0 1.147206351291816e-35 6.707640290111525e-31 1.43958097197069e-41 1.513810194445505e-18 9.269877659814616e-55 0 0 2.626106838886589e-45 3.963229405794508e-37 0 0 0 0 0 7.826370699906555e-53 7.82766474146237e-53 0 7.827665262559004e-53 0.1804802517598231 -0 -0 -2.155142018329377e-33 -1.140089400520945e-16 -1.272669841401519e-55 -0 -7.715785965999453e-54 -0 -5.344903304493846e-57 -0 -2.653394057685848e-59 -0 -0 -4.782840679582483e-65 -4.910266685636958e-58 -1.016030804155369e-62 -3.138889709349981e-55 -1.24777341346022e-62 -4.753741110503659e-61 -0 -4.64388996274958e-66 -1.416801193360123e-63 -0 -0 -1.492506356739832e-65 -5.860206636496558e-61 -6.862181141769221e-67 -0 -0 -1.989778512218745e-66 -6.632052589432552e-46 -0 -5.969447098697723e-66 -0 -2.430444650025894e-50 -1.421065045450816e-45 -3.04986271010911e-56 -3.207123011567818e-33 -1.963894685495865e-69 -0 -0 -5.563608769931551e-60 -8.396405489990494e-52 -0 -0 -0 -0 -0 -1.658076663826696e-67 -1.658350816456055e-67 -0 -1.658350926854373e-67 -3.823612568314743e-16
83 74.89166310449599 72.15981873722218 0.234294182527766 214382.2199257436 9.458529819575428e-41 9.153963821311746e-40 1.134296581838541e-16 -0.1924722599291806 3.996123831810027e-30 -2.842170943040399e-14 0 0 1.017259377347673e-18 0.05381393076794293 6.007192655622975e-41 0 3.641966775630346e-39 0 2.522874576835406e-42 0 1.252441817765624e-44 0 0 2.257572582356661e-50 2.317719569643076e-43 4.795817883047663e-48 1.481603051743003e-40 5.889677779246617e-48 2.243837149020738e-46 0 2.191985758618231e-51 6.687514268318103e-49 0 0 7.044854001415347e-51 2.766105483290753e-46 3.23905248756383e-52 0 0 9.392053206630333e-52 3.130428357056927e-31 0 2.817668620947022e-51 0 1.147206351291816e-35 6.707640290111525e-31 1.43958097197069e-41 1.513810194445505e-18 9.269877659814616e-55 0 0 2.626106838886589e-45 3.963229405794508e-37 0 0 0 0 0 7.826370699906555e-53 7.82766474146237e-53 0 7.827665262559004e-53 0.1804802517598231 -2.515741782791393e-26 4.030307978516267e-29 1.074310896497924e-08 -1.567620367731125e-08 -8.212001826167599e-25 3.928055036885325e-27 -8.963811064378719e-26 6.659086348018236e-33 -3.763651544193869e-33 -3.930329619439203e-32 9.226960906082008e-32 -1.381293257264709e-33 3.789982183817214e-28 3.449977134843862e-29 -1.363792995582289e-25 5.091580434396176e-26 -1.686737414535948e-30 3.115056549145463e-26 -9.727418144143642e-33 4.673208839258314e-31 1.489115772887507e-28 1.450452008757259e-31 9.608497466189563e-28 2.07315109960777e-31 3.726490547796259e-27 9.501540306223229e-31 1.738033579512179e-27 -4.911949228066068e-34 3.47201548741585e-27 -2.512019136141675e-34 2.578057827703734e-17 -1.292541438425571e-30 -8.997439734996453e-31 -8.553980739058579e-32 1.134770026607448e-31 1.241437295958473e-12 1.621779973049925e-15 1.356864505886464e-08 -5.040371305814212e-30 2.092849702759002e-32 1.48371136270337e-28 5.281578356623353e-33 -2.631800966783622e-30 -3.82041510964828e-36 -1.76612726382378e-35 7.61079232883909e-33 1.107094385641111e-28 -2.627451743200181e-35 1.111329340442437e-32 -2.994569554943232e-29 3.404257273200695e-31 -1.013008562506691e-29 -8.636778875833251e-09
71 69.7355341987504 69.49410333400067 0.234294182527766 214382.2199257436 -2.842170943040398e-24 -1.986266202035809e-40 -2.229881289097874e-16 -0.192472260382495 -5.684341886080795e-14 5.684341886080801e-14 0 0 1.017259377347673e-18 0.05381393076794293 6.007192655622976e-41 0 3.641966775630346e-39 0 2.522874576835406e-42 0 1.252441817765625e-44 0 0 2.257572582356661e-50 2.317719569643076e-43 4.795817883047663e-48 1.481603051743003e-40 5.889677779246618e-48 2.243837149020738e-46 0 2.191985758618232e-51 6.687514268318105e-49 0 0 7.044854001415349e-51 2.766105483290753e-46 3.239052487563831e-52 0 0 9.392053206630334e-52 3.130428357056927e-31 0 2.817668620947023e-51 0 1.147206351291816e-35 6.707640290111527e-31 1.439580971970691e-41 1.513810194445506e-18 9.269877659814618e-55 0 0 2.626106838886589e-45 3.963229405794509e-37 0 0 0 0 0 7.826370699906557e-53 7.827664741462372e-53 0 7.827665262559006e-53 0.1804802517598231 -2.515741782791393e-26 4.030307978516267e-29 1.074310896497924e-08 -1.567620375458137e-08 -8.212001826167599e-25 3.928055036885325e-27 -8.963811064378719e-26 6.659086348018236e-33 -3.763651544193869e-33 -3.930329619439203e-32 9.226960906082008e-32 -1.381293257264709e-33 3.789982183817214e-28 3.449977134843862e-29 -1.363792995582289e-25 5.091580434396176e-26 -1.686737414535948e-30 3.115056549145463e-26 -9.727418144143642e-33 4.673208839258314e-31 1.489115772887507e-28 1.450452008757259e-31 9.608497466189563e-28 2.07315109960777e-31 3.726490547796259e-27 9.501540306223229e-31 1.738033579512179e-27 -4.911949228066068e-34 3.47201548741585e-27 -2.512019136141675e-34 2.578057827703734e-17 -1.292541438425571e-30 -8.997439734996453e-31 -8.553980739058579e-32 1.134770026607448e-31 1.241437295958473e-12 1.621779973049925e-15 1.356864505886464e-08 -5.040371305814212e-30 2.092849702759002e-32 1.48371136270337e-28 5.281578356623353e-33 -2.631800966783622e-30 -3.82041510964828e-36 -1.76612726382378e-35 7.61079232883909e-33 1.107094385641111e-28 -2.627451743200181e-35 1.111329340442437e-32 -2.994569554943232e-29 3.404257273200695e-31 -1.013008562506691e-29 -8.636779134980395e-09
256 80.09225444379167 69.17982517962038 0.234294182527766 214382.2199257436 -8.881784197001246e-25 2.842170943040399e-24 0 -0.1924722600820215 -5.329070518200738e-15 2.842170943040398e-14 0 0 1.017259377347673e-18 0.05381393076794293 6.007192655622976e-41 0 3.641966775630346e-39 0 2.522874576835406e-42 0 1.252441817765625e-44 0 0 1.156262026251492e-44 2.787741907458958e-43 7.043996313108311e-48 1.481603051743003e-40 5.889677779246618e-48 2.243837149020738e-46 0 2.191985758618232e-51 6.687514268318105e-49 6.822261807815537e-47 0 6.823847399021856e-47 2.766105483290753e-46 2.193275176946872e-45 0 0 9.392053206630334e-52 3.130428357056927e-31 0 2.817668620947023e-51 0 1.147206351291816e-35 6.707640290111527e-31 1.439580971970691e-41 1.513810194445506e-18 9.269877659814619e-55 0 0 2.626106838886589e-45 3.963229405794509e-37 0 0 0 0 0 7.826370699906557e-53 2.115299861026288e-45 0 7.827665262559006e-53 0.1804802517598231 -2.515741782791314e-26 4.029101841459279e-29 1.074310896497924e-08 -1.567620370336421e-08 -8.212002087504423e-25 3.928055036885325e-27 -8.963811065681382e-26 6.659086348018272e-33 -3.763651578534304e-33 -3.930329626264647e-32 9.22696090596638e-32 -1.381293257094359e-33 3.789982183817214e-28 3.450011822636922e-29 -1.36379298148162e-25 5.091580434402921e-26 -1.686737414545231e-30 3.115056549145463e-26 -9.727418146396239e-33 4.673208839255468e-31 1.489115772887507e-28 1.450452008756897e-31 9.608497486658224e-28 2.073151099596376e-31 3.726490549843202e-27 9.501540306222871e-31 1.738033645310425e-27 -4.911949228066423e-34 3.472015487416355e-27 -2.512019141960534e-34 2.578057827703734e-17 -1.292541438425643e-30 -8.997439734996453e-31 -8.553980739058582e-32 1.134770035343222e-31 1.241437295958473e-12 1.621779973049925e-15 1.356864505886464e-08 -5.040371305814212e-30 2.092849702759002e-32 1.48371136270337e-28 5.281578356623353e-33 -2.631800966783622e-30 -3.82041510964828e-36 -1.76612726382378e-35 7.61079232883909e-33 1.107094385641111e-28 -2.627451743200181e-35 1.111329340442437e-32 -2.994563209043885e-29 3.404257273200695e-31 -1.013008562506691e-29 -8.636778963209197e-09
663 85 -76.4843695 0.234294182527766 214382.2199257436 0 0 -5.377982946830574e-16 -4.920924243296978e-10 0 0 0 0 1.017259377347673e-18 0.05381393076794293 6.007192655622975e-41 0 3.641966775630346e-39 0 2.522874576835406e-42 0 1.252441817765624e-44 0 0 1.614383396013795e-43 8.880225438731292e-43 3.618514335763793e-47 1.481603051743003e-40 5.889677779246617e-48 2.243837149020738e-46 0 2.191985758618231e-51 6.687514268318103e-49 9.526462398559281e-46 0 9.526620957679914e-46 2.766105483290753e-46 3.062275574972812e-44 0 1.783953919813961e-49 9.392053206630333e-52 3.130428357056927e-31 0 2.817668620947022e-51 0 1.147206351291816e-35 6.707640290111525e-31 1.43958097197069e-41 1.513810194445505e-18 9.269877659814616e-55 0 0 2.626106838886589e-45 3.963229405794508e-37 0 0 0 0 0 7.826370699906555e-53 2.953405861617809e-44 0 7.827665262559004e-53 0.1804802517598231 -0 -0 -2.335014691724551e-33 -1.235243653297368e-16 -1.378889535869615e-55 -0 -8.359761647066228e-54 -0 -5.791000145556444e-57 -0 -2.874851891400581e-59 -0 -0 -3.705651706644361e-58 -2.038364779622653e-57 -8.305928973841855e-62 -3.400868028510149e-55 -1.351915199830518e-62 -5.150498314856099e-61 -0 -5.031478759890799e-66 -1.535050392787225e-63 -2.186701853640898e-60 -0 -2.186738249262746e-60 -6.349311774529126e-61 -7.029139880051379e-59 -0 -4.094883473068757e-64 -2.155849600533611e-66 -7.185577609692401e-46 -0 -6.467669674844313e-66 -0 -2.633294658526977e-50 -1.539670114917105e-45 -3.304410649172926e-56 -3.474796225254714e-33 -2.127805455339492e-69 -0 -0 -6.027959227887996e-60 -9.097187104171655e-52 -0 -0 -0 -0 -0 -1.796463220109353e-67 -6.779240605757554e-59 -0 -1.796760373704605e-67 -4.142739293533205e-16
85 85.15992254849908 -72.14335108140108 0.234294182527766 214382.2199257436 -1.793591705370293e-35 -2.842170943033111e-24 1.127757729413535e-16 -0.1924722599300597 -5.380904327475092e-25 2.842170943062267e-14 0 0 1.017259377347673e-18 0.05381393076794293 6.007192655622975e-41 0 3.641966775630346e-39 0 2.522874576835406e-42 0 1.252441817765624e-44 0 0 1.614383396013795e-43 8.880225438731292e-43 3.618514335763793e-47 1.481603051743003e-40 5.889677779246617e-48 2.243837149020738e-46 0 2.191985758618231e-51 6.687514268318103e-49 9.526462398559281e-46 0 9.526620957679914e-46 2.766105483290753e-46 3.062275574972812e-44 0 1.783953919813961e-49 9.392053206630333e-52 3.130428357056927e-31 0 2.817668620947022e-51 0 1.147206351291816e-35 6.707640290111525e-31 1.43958097197069e-41 1.513810194445505e-18 9.269877659814616e-55 0 0 2.626106838886589e-45 3.963229405794508e-37 0 0 0 0 0 7.826370699906555e-53 2.953405861617809e-44 0 7.827665262559004e-53 0.1804802517598231 -2.515741782790297e-26 4.030307978516267e-29 1.074310896497924e-08 -1.567620367746132e-08 -8.212001826167599e-25 3.928055036885325e-27 -8.963811064378719e-26 6.659086348018236e-33 -3.763651544193869e-33 -3.930329619439203e-32 9.226960906082008e-32 -1.381293257264709e-33 3.789982183817214e-28 3.45046145022446e-29 -1.363792798706939e-25 5.091580434490344e-26 -1.686737414535948e-30 3.115056549145463e-26 -9.727418144143642e-33 4.673208839258314e-31 1.489115772887507e-28 1.450452008757259e-31 9.608497751986332e-28 2.07315109960777e-31 3.726490576375936e-27 9.501540306223229e-31 1.738034498195657e-27 -4.911949228066068e-34 3.472015487422906e-27 -2.512019136141675e-34 2.578057827703734e-17 -1.292541438425571e-30 -8.997439734996453e-31 -8.553980739058579e-32 1.134770026607448e-31 1.241437295958473e-12 1.621779973049925e-15 1.356864505886464e-08 -5.040371305814212e-30 2.092849702759002e-32 1.48371136270337e-28 5.281578356623353e-33 -2.631800966783622e-30 -3.82041510964828e-36 -1.76612726382378e-35 7.61079232883909e-33 1.107094385641111e-28 -2.627451743200181e-35 1.111329340442437e-32 -2.994480952689041e-29 3.404257273200695e-31 -1.013008562506691e-29 -8.636778876336358e-09
68 80.12446350527129 -69.4009817254443 0.234294182527766 214382.2199257436 -8.654908641633937e-40 5.684341886080798e-24 0 -0.1924722600820213 -1.769308963649546e-29 2.842170943040394e-14 0 0 1.017259377347673e-18 0.05381393076794293 6.007192655622976e-41 0 3.641966775630346e-39 0 2.522874576835406e-42 0 1.252441817765625e-44 0 0 1.03909983187521e-44 2.740115197617364e-43 6.816191519280466e-48 1.481603051743003e-40 5.889677779246618e-48 2.243837149020738e-46 0 2.191985758618232e-51 6.687514268318105e-49 6.13088222516667e-47 0 6.132467816372989e-47 2.766105483290753e-46 1.97103368622522e-45 0 0 9.392053206630334e-52 3.130428357056927e-31 0 2.817668620947023e-51 0 1.147206351291816e-35 6.707640290111527e-31 1.439580971970691e-41 1.513810194445506e-18 9.269877659814618e-55 0 0 2.626106838886589e-45 3.963229405794509e-37 0 0 0 0 0 7.826370699906557e-53 1.900959475739179e-45 0 7.827665262559006e-53 0.1804802517598231 -2.515741782791322e-26 4.029101841459279e-29 1.074310896497924e-08 -1.567620370336426e-08 -8.212002087504423e-25 3.928055036885325e-27 -8.963811065681367e-26 6.659086348018236e-33 -3.763651544193869e-33 -3.930329619439169e-32 9.226960906082008e-32 -1.381293257264709e-33 3.789982183817214e-28 3.450008307771091e-29 -1.363792982910421e-25 5.091580434402237e-26 -1.686737414535948e-30 3.115056549145463e-26 -9.727418144143642e-33 4.673208839258314e-31 1.489115772887507e-28 1.450452008757259e-31 9.608497484584853e-28 2.07315109960777e-31 3.726490549635788e-27 9.501540306223229e-31 1.73803363864318e-27 -4.911949228066068e-34 3.472015487416304e-27 -2.512019141960624e-34 2.578057827703734e-17 -1.29254143842557e-30 -8.997439734996453e-31 -8.553980739058579e-32 1.134770026607448e-31 1.241437295958473e-12 1.621779973049925e-15 1.356864505886464e-08 -5.040371305814212e-30 2.092849702759002e-32 1.48371136270337e-28 5.281578356623353e-33 -2.631800966783622e-30 -3.82041510964828e-36 -1.76612726382378e-35 7.61079232883909e-33 1.107094385641111e-28 -2.627451743200181e-35 1.111329340442437e-32 -2.99456385206504e-29 3.404257273200695e-31 -1.013008562506691e-29 -8.636778963209164e-09
554 89.73586134908888 -70.16224389528895 0.234294182527766 214382.2199257436 -2.843874268461092e-24 -4.072441630176304e-27 0 -0.1924722600961793 1.41767882064431e-14 -8.144883264031427e-17 4.191315012738802e-34 0 1.017259377347673e-18 0.05381393076794293 6.007192655622976e-41 0 3.641966775630346e-39 0 2.522874576835406e-42 0 1.252441817765624e-44 0 0 1.85154754319449e-28 7.526584668978472e-28 3.600064070029568e-32 1.481603051743003e-40 5.889677779246617e-48 2.243837149020738e-46 0 2.191985758618232e-51 6.687514268318103e-49 1.092606855379523e-30 0 1.092606855379523e-30 2.766105483290753e-46 3.512145605774506e-29 0 2.697736794840214e-34 9.392053206630334e-52 3.130428357056927e-31 0 2.817668620947022e-51 0 1.147206351291816e-35 6.707640290111527e-31 1.43958097197069e-41 1.513810194445505e-18 9.269877659814618e-55 0 0 2.626106838886589e-45 3.963229405794509e-37 0 0 0 0 0 7.826370699906555e-53 3.387282185165748e-29 0 7.827665262559004e-53 0.1804802517598231 8.357472610227635e-24 4.030307978516267e-29 1.074310896497924e-08 -1.56762037079995e-08 -8.004977014834609e-25 4.641556226298447e-27 -8.890420677670419e-26 6.652275190118268e-33 4.593526481033397e-32 -3.930399503781626e-32 6.931214532815517e-31 3.677714659793142e-32 3.379816847813534e-28 3.703095086118667e-18 1.505316922185159e-17 7.200804000058837e-22 -1.662917513945674e-30 3.342946807039479e-26 -9.725632802449433e-33 2.294664239648783e-31 1.489117551660547e-28 1.450456124035282e-31 2.18521383189898e-20 2.073172153375394e-31 2.185214594973826e-20 9.356636479272858e-31 7.024291184574164e-19 9.722632377512704e-36 5.398945602787167e-24 -2.648002475844134e-34 2.578057827703734e-17 -1.292541438425571e-30 -8.997439734996453e-31 -8.553980739058579e-32 1.134770026607448e-31 1.241437295958473e-12 1.621779973049925e-15 1.356864505886464e-08 -5.040370345459764e-30 2.092850364492092e-32 1.483711773252761e-28 5.28159147897409e-33 -2.631808753433661e-30 -3.8204161701994e-36 -1.518189873163446e-35 7.610793718435259e-33 1.10709456938467e-28 -2.627451854991438e-35 1.111306034945501e-32 6.77456433174215e-19 3.404253448156206e-31 -1.013008490742938e-29 -8.63677897875478e-09
664 75 -76.4843695 0.234294182527766 214382.2199257436 0 0 -5.089188317535011e-16 -4.65667340675016e-10 0 0 0 0 1.017259377347673e-18 0.05381393076794293 6.007192655622974e-41 0 3.641966775630346e-39 0 2.522874576835406e-42 0 1.252441817765624e-44 0 0 2.257572582356661e-50 2.317719569643075e-43 4.795817883047663e-48 1.481603051743003e-40 5.889677779246617e-48 2.243837149020738e-46 0 2.191985758618231e-51 6.687514268318103e-49 0 0 7.044854001415347e-51 2.766105483290753e-46 3.23905248756383e-52 0 0 9.392053206630333e-52 3.130428357056927e-31 0 2.817668620947022e-51 0 1.147206351291816e-35 6.707640290111525e-31 1.43958097197069e-41 1.513810194445505e-18 9.269877659814616e-55 0 0 2.626106838886589e-45 3.963229405794508e-37 0 0 0 0 0 7.826370699906555e-53 7.82766474146237e-53 0 7.827665262559004e-53 0.1804802517598231 -0 -0 -2.209625729177972e-33 -1.168911770792247e-16 -1.304843951068035e-55 -0 -7.910847195359654e-54 -0 -5.480026727302648e-57 -0 -2.720473977884518e-59 -0 -0 -4.903754710493201e-65 -5.034402147715281e-58 -1.041716874064477e-62 -3.218243347233401e-55 -1.279318121551536e-62 -4.873919481075511e-61 -0 -4.761291208603099e-66 -1.452619058675938e-63 -0 -0 -1.530238109027479e-65 -6.008357338946968e-61 -7.035662559670699e-67 -0 -0 -2.04008170160972e-66 -6.79971617380061e-46 -0 -6.120359487248128e-66 -0 -2.491888231200267e-50 -1.456990704351665e-45 -3.126965674374223e-56 -3.288201641807502e-33 -2.013543511082121e-69 -0 -0 -5.704261241516988e-60 -8.608673324311135e-52 -0 -0 -0 -0 -0 -1.699994165665745e-67 -1.700275249092453e-67 -0 -1.70027536228173e-67 -3.920276546742764e-16
104 74.96454095677221 -72.25763064404322 0.234294182527766 214382.2199257436 -3.009824134259647e-40 -8.19093400229992e-41 1.174753463158782e-16 -0.1924722599237268 -6.025525908998731e-30 -1.637178354138319e-30 0 0 1.017259377347673e-18 0.05381393076794293 6.007192655622974e-41 0 3.641966775630346e-39 0 2.522874576835406e-42 0 1.252441817765624e-44 0 0 2.257572582356661e-50 2.317719569643075e-43 4.795817883047663e-48 1.481603051743003e-40 5.889677779246617e-48 2.243837149020738e-46 0 2.191985758618231e-51 6.687514268318103e-49 0 0 7.044854001415347e-51 2.766105483290753e-46 3.23905248756383e-52 0 0 9.392053206630333e-52 3.130428357056927e-31 0 2.817668620947022e-51 0 1.147206351291816e-35 6.707640290111525e-31 1.43958097197069e-41 1.513810194445505e-18 9.269877659814616e-55 0 0 2.626106838886589e-45 3.963229405794508e-37 0 0 0 0 0 7.826370699906555e-53 7.82766474146237e-53 0 7.827665262559004e-53 0.1804802517598231 -2.515741782791393e-26 4.030307978516267e-29 1.074310896497924e-08 -1.567620367638194e-08 -8.212001826167599e-25 3.928055036885325e-27 -8.963811064378719e-26 6.659086348018236e-33 -3.763651544193869e-33 -3.930329619439203e-32 9.226960906082008e-32 -1.381293257264709e-33 3.789982183817214e-28 3.449977134843862e-29 -1.363792995582289e-25 5.091580434396176e-26 -1.686737414535948e-30 3.115056549145463e-26 -9.727418144143642e-33 4.673208839258314e-31 1.489115772887507e-28 1.450452008757259e-31 9.608497466189563e-28 2.07315109960777e-31 3.726490547796259e-27 9.501540306223229e-31 1.738033579512179e-27 -4.911949228066068e-34 3.47201548741585e-27 -2.512019136141675e-34 2.578057827703734e-17 -1.292541438425571e-30 -8.997439734996453e-31 -8.553980739058579e-32 1.134770026607448e-31 1.241437295958473e-12 1.621779973049925e-15 1.356864505886464e-08 -5.040371305814212e-30 2.092849702759002e-32 1.48371136270337e-28 5.281578356623353e-33 -2.631800966783622e-30 -3.82041510964828e-36 -1.76612726382378e-35 7.61079232883909e-33 1.107094385641111e-28 -2.627451743200181e-35 1.111329340442437e-32 -2.994569554943232e-29 3.404257273200695e-31 -1.013008562506691e-29 -8.636778872716383e-09
