p  x y rho rhoE rhoVel0 rhoVel1 s_rho s_rhoE s_rhoVel0 s_rhoVel1 H2 H O O2 OH H2O HO2 H2O2 C CH CH2 CH2(S) CH3 CH4 CO CO2 HCO CH2O CH2OH CH3O CH3OH C2H C2H2 C2H3 C2H4 C2H5 C2H6 HCCO CH2CO HCCOH N NH NH2 NH3 NNH NO NO2 N2O HNO CN HCN H2CN HCNN HCNO HOCN HNCO NCO AR C3H7 C3H8 CH2CHO CH3CHO N2 s_H2 s_H s_O s_O2 s_OH s_H2O s_HO2 s_H2O2 s_C s_CH s_CH2 s_CH2(S) s_CH3 s_CH4 s_CO s_CO2 s_HCO s_CH2O s_CH2OH s_CH3O s_CH3OH s_C2H s_C2H2 s_C2H3 s_C2H4 s_C2H5 s_C2H6 s_HCCO s_CH2CO s_HCCOH s_N s_NH s_NH2 s_NH3 s_NNH s_NO s_NO2 s_N2O s_HNO s_CN s_HCN s_H2CN s_HCNN s_HCNO s_HOCN s_HNCO s_NCO s_AR s_C3H7 s_C3H8 s_CH2CHO s_CH3CHO s_N2
660 105.792 -51.2219 0.4657701929555879 143721.2879694515 0 0 0 0 0 0 1.934720235261033e-07 0 0 0 0 0 0 0 0 0 0 0 0 0.08546784210877841 0.3474288048778624 1.661797498258746e-05 0 0 0 0 0 0 0.0005043497292077737 0 0.0005043497292077737 0 0.01621214141655147 0 1.245281242061122e-07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01563576911884967 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
52 105.113572766391 -47.2837248878084 0.2354424451203656 214977.5668176255 -2.069429099825045e-05 0.002010011552195651 0.1279915589986556 65352.36335605242 -0.006281925913595571 0.3010289318951038 4.813843602669115e-10 3.870424806417441e-18 9.719350020252241e-11 0.05381148904440086 2.035171744353225e-12 1.797776901757347e-17 5.674104526104921e-14 9.855869116872809e-23 -3.143031216365815e-34 8.32461719219131e-27 2.12979513353303e-22 2.67594960672098e-24 3.826245335720481e-16 0.0002126543517263456 0.0008644449834816267 4.134760147791306e-08 2.179289194366508e-18 2.080139314937859e-13 4.407333514111507e-27 1.93625701783048e-19 6.503010411713841e-21 1.04204247212676e-24 1.254883286856359e-06 5.936303354198195e-22 1.254883520425985e-06 -8.021306343173222e-20 4.033777265881776e-05 1.356848195807725e-21 3.098411205796685e-10 3.371113316261527e-21 2.332384377099238e-19 6.922678587242196e-24 1.319946581437731e-31 2.539652070573744e-34 2.043735267248959e-22 1.12867577756217e-14 1.478058952868836e-17 1.206017989119426e-10 1.241072951456153e-23 1.75231142517514e-33 5.988722271853331e-23 2.233635048107131e-31 4.462053145496057e-29 9.931515932802543e-30 2.097028922012604e-30 5.140380944587473e-30 9.696101136693526e-25 7.070148663305607e-38 -2.091045475268926e-23 3.89036885292541e-05 2.632088167412321e-21 6.864928840248871e-21 0.1804720631538277 5.41670953508148e-08 4.355140990273746e-16 1.093656257016746e-08 -0.0005538346913641771 2.290048335620296e-10 2.022923132850491e-15 6.384706186195389e-12 1.109017788098541e-20 -3.536651158611626e-32 9.367158225609941e-25 2.396521971315371e-20 3.011074598521807e-22 4.305428663233049e-14 0.02392863062758832 0.09727045103794549 4.652580467174985e-06 2.452214466047586e-16 2.340647460956981e-11 4.959289949238631e-25 2.178745933024116e-17 7.317420855796573e-19 1.172543612351621e-22 0.0001412039697666798 6.679741723850666e-20 0.0001412039960487729 -9.025861965532594e-18 0.004538950905338562 1.526774318241421e-19 3.486443455024982e-08 3.793297769173444e-19 2.624482901802078e-17 7.789646559674698e-22 1.485251288465265e-29 2.857706937075373e-32 2.299684319123175e-20 1.270026633542819e-12 1.663165164874085e-15 1.35705486119229e-08 1.396499855479642e-21 1.971763755991129e-31 6.738725372540147e-21 2.513366372616329e-29 5.020862399623937e-27 1.117529839681832e-27 2.359652252978557e-28 5.78414124449565e-28 1.091040121390249e-22 7.95558294401669e-36 -2.352919464232505e-21 0.004377582613805197 2.96172013182259e-19 7.724664470351187e-19 -0.001857395839670042
54 110.1570408060217 -44.51291489778433 0.234304214069051 214395.7115075763 -5.982951270242523e-07 0.0007354823800621409 0.002213772963011553 2974.723322679449 -0.0003491598463505371 0.1609666826720217 1.416938064878486e-14 1.139245083777471e-22 9.5471189323069e-11 0.05381622689131822 5.990456612877775e-17 5.240231498911524e-22 1.670152260866849e-18 2.872393301207292e-27 3.501277944970881e-34 2.450699400106902e-31 6.267765655425693e-27 7.874866282339251e-29 1.126232948445809e-20 6.259406629997555e-09 2.54446364109024e-08 1.217052219829989e-12 6.414658268585504e-23 6.122815519571613e-18 1.286328342037235e-31 5.699259348583069e-24 1.895251260694816e-25 3.062991228696136e-29 3.693705161383118e-11 1.746891243417303e-26 3.693705848887195e-11 -2.361043592511452e-24 1.187328260955861e-09 3.993125968345692e-26 9.120065254196466e-15 9.824770924309653e-26 2.291052293507155e-19 2.037575271622945e-28 -6.481382431148939e-33 -5.668201789515164e-34 6.015662857786149e-27 1.103232888720709e-14 1.441233593880149e-17 1.205809237033543e-10 3.652786232655371e-28 9.324071259815048e-35 1.764680728496498e-27 1.507236693847586e-34 -2.206792870350236e-32 2.921328091791456e-34 6.109247702933287e-35 2.393395659090724e-34 2.916559492598839e-29 -2.349168398590601e-37 -6.154827695688968e-28 1.145116495075252e-09 7.745936411419954e-26 2.019973447524664e-25 0.1804879528500674 4.77238225929891e-12 3.837085936204828e-20 1.074402348077663e-08 0.0005058165603394337 2.017642826046011e-14 1.764938089194994e-19 5.625231829871344e-16 9.674373858937243e-25 3.939868548680807e-32 8.253235211134144e-29 2.111041524586375e-24 2.652322227874293e-26 3.793259759927924e-18 2.108227726756601e-06 8.569995711993856e-06 4.099147709081317e-10 2.160517977416807e-20 2.062222561252165e-15 4.328238596403494e-29 1.919564791271214e-21 6.383273651448999e-23 1.031620519855899e-26 1.24407505311648e-08 5.883693747914032e-24 1.244075284674399e-08 -7.952219634940619e-22 3.999034586621544e-07 1.344922545600764e-23 3.071724777646075e-12 3.309035092871978e-23 2.578277287072415e-17 6.862951279893154e-26 -7.284963070000233e-31 -6.378649861403984e-32 2.02613175807168e-24 1.24154352359538e-12 1.621919101615819e-15 1.356977874143803e-08 1.23035335191714e-25 1.05038193795325e-32 5.939301395990164e-25 1.843516819065668e-32 -2.188743068446214e-30 9.840812463268533e-32 2.058149557832984e-32 6.078967346678496e-32 9.682956961451204e-27 -2.643481832007241e-35 -2.073004943673961e-25 3.856861341639547e-07 2.608904426555012e-23 6.803461870227053e-23 0.001696442975324514
65 100.4623648331471 -44.47522762013832 0.2342995904455699 214389.4915915679 -0.0006466317240515296 0.0004238835111092352 0.001201326975079728 1613.890039244016 -0.1407623174253028 0.09322432743225029 8.075300961686454e-15 6.492700326073635e-23 9.546992213485364e-11 0.05381516828266124 3.414033661172072e-17 3.015800299180796e-22 9.518402533554671e-19 1.653338501987545e-27 4.331751207987675e-34 1.394869677373437e-31 3.572768816358085e-27 4.488968618334787e-29 6.418588740831987e-21 3.567311347735774e-09 1.450120523766939e-08 6.936127417868392e-13 3.65579304069225e-23 3.48946750838493e-18 7.420967021753754e-32 3.248102618595596e-24 1.090903287626278e-25 1.74818776521185e-29 2.105087129863826e-11 9.958247019157211e-27 2.10508752168067e-11 -1.345587158408541e-24 6.766726990537247e-10 2.276134900449479e-26 5.197635206926684e-15 5.6550973839528e-26 2.291021884375628e-19 1.16120992190419e-28 -6.464741745545004e-33 -7.761103268846e-34 3.428400379100921e-27 1.103218175381689e-14 1.441214327357135e-17 1.205793505076653e-10 2.081550073573144e-28 1.402046091969467e-34 1.010696965014767e-27 3.688832207867342e-34 -2.87136425431008e-32 1.665044663524307e-34 3.517622069130735e-35 1.648519731267837e-34 1.705394194523384e-29 -2.355952436619686e-37 -3.507760870827494e-28 6.526157044638211e-10 4.415370859742572e-26 1.151602126098352e-25 0.1804844025062348 2.758364988023286e-12 2.217779606664841e-20 1.074360567687313e-08 0.0002743862427061053 1.166167191688823e-14 1.030138379179694e-19 3.251300320601006e-16 5.647480258937668e-25 4.874399594784004e-32 4.768263368662644e-29 1.220387358905297e-24 1.533339461260286e-26 2.192464492663636e-18 1.218523838264096e-06 4.953328303366557e-06 2.36924556901221e-10 1.248747468313153e-20 1.191933916077047e-15 2.528537045661975e-29 1.109488385564518e-21 3.726283331362292e-23 5.971136641703465e-27 7.190566225709809e-09 3.401542215250435e-24 7.190567564079586e-09 -4.596262842804311e-22 2.311381693730824e-07 7.774832060111536e-24 1.775410606158842e-12 1.931670765848158e-23 2.578177025297616e-17 3.966650948017907e-26 -7.269703588035967e-31 -8.733473548628529e-32 1.171074289828229e-24 1.241495011783214e-12 1.621855577006043e-15 1.356926006520765e-08 7.111015737914924e-26 1.578396077761434e-32 3.43841920229238e-25 4.236867811693804e-32 -3.059743304663182e-30 5.689719415155287e-32 1.201591743205941e-32 3.830198154735397e-32 5.644669950658681e-27 -2.651126603470659e-35 -1.198183006147481e-25 2.229207701815613e-07 1.508204367230864e-23 3.933649771377327e-23 0.0009202758845926926
661 105.7921025605412 51.22194880716064 0.4657701929555879 143721.2879694515 0 0 0 0 0 0 1.934720235261033e-07 0 0 0 0 0 0 0 0 0 0 0 0 0.08546784210877841 0.3474288048778624 1.661797498258746e-05 0 0 0 0 0 0 0.0005043497292077737 0 0.0005043497292077737 0 0.01621214141655147 0 1.245281242061122e-07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01563576911884967 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
62 105.1091701975273 47.30377630278554 0.2354509523381082 214981.9502809976 -2.111798386938906e-05 -0.002029828365912575 0.1289356432792926 65827.90276773286 -0.006404260456704759 -0.3043214436417827 4.849643944704286e-10 3.899211371633433e-18 9.720632049694386e-11 0.0538114634537409 2.050307308112422e-12 1.824412948054678e-17 5.716304103816275e-14 1.000301386058124e-22 8.750630333008312e-34 8.386650813554273e-27 2.145948016273825e-22 2.696296247476336e-24 3.854724159911646e-16 0.0002142358527378696 0.0008708738226033504 4.165510176200284e-08 2.195497337336051e-18 2.095609709102635e-13 4.473160360625977e-27 1.950668619735789e-19 6.600098992627044e-21 1.050906660167176e-24 1.264215798377503e-06 5.981583316675521e-22 1.264216033684165e-06 -8.080960196983705e-20 4.063776289059371e-05 1.367121861737079e-21 3.12145395302535e-10 3.421442448351663e-21 2.332692039015024e-19 6.974162638612193e-24 1.278011797476201e-31 -6.239910096525985e-34 2.058935448711062e-22 1.12886512950389e-14 1.478333005376684e-17 1.206019681408067e-10 1.250302853005078e-23 1.736874912496928e-33 6.033263602631169e-23 2.249280533289611e-31 4.492517266522139e-29 1.000874681985263e-29 2.128337394606594e-30 5.187410160453872e-30 9.76822834166183e-25 3.582812860318346e-38 -2.106619632166145e-23 3.919301354076484e-05 2.652055611107122e-21 6.917770810754939e-21 0.1804719773284142 5.456989786921171e-08 4.387529793523681e-16 1.093799802271054e-08 -0.0005597213433880345 2.307077904436401e-10 2.052893624303516e-15 6.43218645359796e-12 1.125574305974851e-20 9.846517178595504e-32 9.436954503168805e-25 2.414696193501067e-20 3.033967382227664e-22 4.337471218017584e-14 0.02410657099186276 0.09799378283909234 4.687178429595955e-06 2.470450832504765e-16 2.358053759582061e-11 5.033357384684189e-25 2.194960947397078e-17 7.426663550139098e-19 1.182517140564878e-22 0.0001422540041881357 6.730687955320897e-20 0.0001422540306656691 -9.09298066847104e-18 0.004572703884775193 1.53833360852849e-19 3.512369678314606e-08 3.849927394794744e-19 2.62482738230289e-17 7.847573123221689e-22 1.438063822314457e-29 -7.021367027211186e-32 2.316786591740223e-20 1.270238870765594e-12 1.663472453758166e-15 1.357055880505191e-08 1.406884750694964e-21 1.954392761897698e-31 6.788840430991399e-21 2.530969576845866e-29 5.05513841157566e-27 1.126219398805761e-27 2.394880102340902e-28 5.837056384119817e-28 1.099155413599239e-22 4.031504751653339e-36 -2.370442512296491e-21 0.004410135610968515 2.984186261982701e-19 7.784119054862773e-19 -0.001877138381479992
60 100.4344533907798 44.58408069635452 0.234299685026609 214389.6186830425 -0.0006573052041029128 -0.0004313402529884159 0.00122217718609681 1641.863596397403 -0.1431299215691436 -0.09478120508476252 8.284397859411826e-15 6.660822413842047e-23 9.546994829025861e-11 0.05381518989091626 3.502434697158595e-17 3.116551334213368e-22 9.764868803958356e-19 1.708763948242327e-27 8.570675692784677e-35 1.431049944171359e-31 3.665815644557343e-27 4.605958767363242e-29 6.584827390327606e-21 3.659681123124537e-09 1.487669056544154e-08 7.11572725349365e-13 3.750455385071402e-23 3.579822479754417e-18 7.668862781039627e-32 3.332227062179309e-24 1.127473752379979e-25 1.795354478809167e-29 2.159594966832614e-11 1.0218033355043e-26 2.159595368794904e-11 -1.380428931860654e-24 6.941940475233434e-10 2.335384089701076e-26 5.332219590045347e-15 5.844674506899481e-26 2.291022512035682e-19 1.191279736727058e-28 -6.464772588516293e-33 -7.761252132148971e-34 3.517174975863051e-27 1.103218480031334e-14 1.441214726901606e-17 1.205793826063458e-10 2.135458201564173e-28 1.402049214922118e-34 1.036710517951585e-27 3.689786643701431e-34 -2.869475103738221e-32 1.708759560143985e-34 3.637754773886701e-35 1.67235123246652e-34 1.747513780199954e-29 -2.355958186347726e-37 -3.598628268205815e-28 6.695141358482209e-10 4.530370627801908e-26 1.1817264285231e-25 0.1804844749756355 2.830009802743657e-12 2.275384837860941e-20 1.074361435991373e-08 0.0002791356138968796 1.19645686112446e-14 1.064636250916032e-19 3.335749349666218e-16 5.837259429828297e-25 9.648006099895733e-33 4.892231361054299e-29 1.252268317153255e-24 1.573425329864911e-26 2.24942434683949e-18 1.250173353467261e-06 5.08198433332737e-06 2.430783531015293e-10 1.281182506715895e-20 1.222893079845575e-15 2.613417807410675e-29 1.138312705272358e-21 3.85150221330869e-23 6.132728690638074e-27 7.377331496879356e-09 3.490553229355065e-24 7.377332870011423e-09 -4.715644441130516e-22 2.371416719520938e-07 7.977839847127137e-24 1.821524505014628e-12 1.99658280891078e-23 2.578179108996156e-17 4.069681952015797e-26 -7.269808111866798e-31 -8.733981840208838e-32 1.201491954230055e-24 1.241496023412091e-12 1.621856903910389e-15 1.356927071131341e-08 7.295726171452161e-26 1.57840578163685e-32 3.527551852211085e-25 4.24013612950216e-32 -3.053263617326757e-30 5.839497891149577e-32 1.242219230726885e-32 3.911838372508655e-32 5.788988138593559e-27 -2.651145921679835e-35 -1.229317707068558e-25 2.287108368863815e-07 1.547607115529314e-23 4.036864320105577e-23 0.0009362042454827474
69 110.1208564445257 44.58263701474067 0.2343044405682905 214396.0158362376 -1.037987947355382e-06 -0.0007541010258442451 0.002263408095204988 3041.309942213551 -0.000488190458749151 -0.1650258339392504 1.468515373539076e-14 1.180715440376277e-22 9.54712520115375e-11 0.05381627862966921 6.208512867579528e-17 5.499398234655978e-22 1.730947480051406e-18 3.015036573404533e-27 3.981021110801517e-34 2.535459405144543e-31 6.497531013196946e-27 8.163797822270225e-29 1.167240402580529e-20 6.487252402362382e-09 2.637083487958803e-08 1.26135357608279e-12 6.648159744008131e-23 6.345691825991347e-18 1.351243918469936e-31 5.906776027219005e-24 1.989366946157515e-25 3.180239511099331e-29 3.82815801851976e-11 1.811062827890481e-26 3.828158731049301e-11 -2.446986728993092e-24 1.230547649095881e-09 4.139420926393768e-26 9.452040541535518e-15 1.031266719824291e-25 2.291053797863515e-19 2.111851888909858e-28 -6.836152743651422e-33 -6.412906756737877e-34 6.234639164902791e-27 1.103233619063811e-14 1.441234551824788e-17 1.205810005710656e-10 3.785811005473917e-28 1.638292948402497e-34 1.83083307347907e-27 3.658903123099696e-34 -2.810563260063361e-32 3.029206342249353e-34 6.401459333443795e-35 2.343501524355671e-34 3.047712897392519e-29 -2.349182781216511e-37 -6.37898616900598e-28 1.186799352203873e-09 8.029918004968767e-26 2.094423652402379e-25 0.1804881263692751 4.946513049874403e-12 3.977094535467707e-20 1.074404416060384e-08 0.0005171207354737993 2.091261071293942e-14 1.852393638452914e-19 5.830483325405474e-16 1.015571928434747e-24 4.479993964817768e-32 8.549510913075765e-29 2.188612428942715e-24 2.749870838503053e-26 3.931705462127937e-18 2.185151020161207e-06 8.882690724142346e-06 4.248714066617215e-10 2.23935069836526e-20 2.137468106660676e-15 4.544784771530036e-29 1.989624717440582e-21 6.700869445755079e-23 1.071199294616434e-26 1.289467848739867e-08 6.100340608976171e-24 1.289468088746664e-08 -8.242373313061672e-22 4.14494809821126e-07 1.394312788783553e-23 3.183803365569623e-12 3.473674303060902e-23 2.578282249680446e-17 7.113482769546012e-26 -7.683982769000819e-31 -7.21670476479202e-32 2.10006110342146e-24 1.241545933328119e-12 1.621922262603813e-15 1.356980408090785e-08 1.275252502546939e-25 1.844796344716671e-32 6.158170359598495e-25 4.270378864388982e-32 -2.857733475350569e-30 1.020551068365496e-31 2.159295276546159e-32 6.156814232784384e-32 1.006439464464445e-26 -2.643524955070911e-35 -2.148683290977574e-25 3.997587351851098e-07 2.704778582704072e-23 7.054808466204138e-23 0.001734354726980152
666 125 -51.48436950000001 0.4657701929555879 143721.2879694515 0 0 0 0 0 0 1.934720235261033e-07 0 0 0 0 0 0 0 0 0 0 0 0 0.08546784210877841 0.3474288048778624 1.661797498258746e-05 0 0 0 0 0 0 0.0005043497292077737 0 0.0005043497292077737 0 0.01621214141655147 0 1.245281242061122e-07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01563576911884967 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
110 125.0176266558242 -47.16898785775182 0.2353962678008912 214953.9229105522 3.160836157343689e-07 0.001889049966032959 0.1229057384288898 62839.95784359042 8.255217185086415e-05 0.2790479203656844 4.618753019826978e-10 3.713555765527953e-18 9.712369294575105e-11 0.05381167029186226 1.952691944614668e-12 1.6560673219427e-17 5.444142317559776e-14 9.07317286233188e-23 7.030986961839315e-35 7.986605839064245e-27 2.041852897123115e-22 2.565188143863088e-24 3.671058700663369e-16 0.0002040361113251541 0.000829411631844242 3.96719077209093e-08 2.090964679218139e-18 1.995834994601446e-13 4.057199128693305e-27 1.857725404734568e-19 5.986574558723881e-21 9.940270242039578e-25 1.204026646708783e-06 5.689848095305095e-22 1.204026870812592e-06 -7.696228254013707e-20 3.870300422262003e-05 1.300910254194399e-21 2.97284193101337e-10 3.103401088312462e-21 2.330709139842132e-19 6.64212145090461e-24 1.147986358295093e-31 -3.48996048605705e-34 1.960903581377491e-22 1.127644565930083e-14 1.476566372778281e-17 1.206009470608537e-10 1.190775513040019e-23 1.546572293971546e-33 5.746001377508813e-23 2.1457742425994e-31 4.279740634780377e-29 9.511538434419379e-30 1.930492279135063e-30 4.885890372757552e-30 9.303054581994194e-25 5.277334358712625e-38 -2.006181585770388e-23 3.732703920364019e-05 2.523379340370931e-21 6.577435260653544e-21 0.1804726710179057 5.19721369634421e-08 4.178648083860846e-16 1.092876440036131e-08 -0.0005082745937737545 2.197250551204385e-10 1.863476134298419e-15 6.125976368716936e-12 1.020951314438081e-20 7.91156274568471e-33 8.986862536375778e-25 2.297578179735946e-20 2.886456862080048e-22 4.130828611129838e-14 0.02295899494464555 0.0933288589890635 4.464048657334683e-06 2.352840808624121e-16 2.245796913381757e-11 4.565329952627286e-25 2.090390233235336e-17 6.736343787833331e-19 1.118520733854676e-22 0.0001354821041994519 6.402454774393157e-20 0.0001354821294165487 -8.660117546940244e-18 0.00435502359125868 1.463838564493299e-19 3.345165834718207e-08 3.492076551847884e-19 2.622611493582146e-17 7.473992536004746e-22 1.291762203623709e-29 -3.927049796698266e-32 2.206490627936889e-20 1.268872871203605e-12 1.661494294586621e-15 1.357052327724493e-08 1.339910352784385e-21 1.740267763362115e-31 6.465640793353079e-21 2.414514819098282e-29 4.815742906694961e-27 1.0702780397893e-27 2.172270560476199e-28 5.497807959208828e-28 1.046818565752141e-22 5.938275380956801e-36 -2.257439330001808e-21 0.004200194263697032 2.839411849796614e-19 7.401204932453144e-19 -0.001704597220958588
