p  x y rho rhoE rhoVel0 rhoVel1 s_rho s_rhoE s_rhoVel0 s_rhoVel1 H2 H O O2 OH H2O HO2 H2O2 C CH CH2 CH2(S) CH3 CH4 CO CO2 HCO CH2O CH2OH CH3O CH3OH C2H C2H2 C2H3 C2H4 C2H5 C2H6 HCCO CH2CO HCCOH N NH NH2 NH3 NNH NO NO2 N2O HNO CN HCN H2CN HCNN HCNO HOCN HNCO NCO AR C3H7 C3H8 CH2CHO CH3CHO N2 s_H2 s_H s_O s_O2 s_OH s_H2O s_HO2 s_H2O2 s_C s_CH s_CH2 s_CH2(S) s_CH3 s_CH4 s_CO s_CO2 s_HCO s_CH2O s_CH2OH s_CH3O s_CH3OH s_C2H s_C2H2 s_C2H3 s_C2H4 s_C2H5 s_C2H6 s_HCCO s_CH2CO s_HCCOH s_N s_NH s_NH2 s_NH3 s_NNH s_NO s_NO2 s_N2O s_HNO s_CN s_HCN s_H2CN s_HCNN s_HCNO s_HOCN s_HNCO s_NCO s_AR s_C3H7 s_C3H8 s_CH2CHO s_CH3CHO s_N2
659 -1.48437 -10 1.178739808624658 -101325.0000431871 2.357479617249316e-07 0 5.489125716179694e-08 -0.004718476964631573 1.097825143235939e-14 0 0 0 0 0.2707392124310568 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9080005961936012 -0 -0 -0 1.260771514171175e-08 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 4.228354202008519e-08
2 3.520468363593077 -10.04976527856324 1.178739808318512 -101325 1.155967948087501e-08 -5.827334225718014e-12 2.185247867375231e-08 -1.36266748140327e-11 1.274518923206194e-06 -1.25081176533063e-09 -3.818517362328638e-112 -1.977055752485793e-83 1.122439534177848e-62 0.2707392123607396 3.701962607440366e-86 6.953281489968671e-87 4.427171222219999e-77 -1.423527716411902e-123 7.770989955302476e-93 9.723003209635261e-86 -2.302984497090267e-91 1.494058761531089e-93 -9.374025345323733e-97 -2.870926743306953e-132 3.543218163433131e-79 6.276587747548504e-86 2.938842593734223e-84 -2.985305683195901e-87 6.666360501733063e-107 1.712724468940076e-98 -2.497091203477598e-142 3.908668375360954e-102 9.973569212071721e-93 1.723211100931895e-95 7.786969517480591e-102 3.418741989194075e-102 -1.401745637669092e-140 -2.087453720559514e-106 6.682594756286871e-108 -8.754376023883225e-141 -5.119864265143197e-92 -1.024308293085378e-92 -1.667639152637085e-140 -1.451455948410589e-140 -1.677767561330329e-85 -3.950915711512492e-90 -1.090022415232418e-119 3.087722460250566e-62 -7.304255266927474e-94 -8.61943299668245e-97 2.444163526682844e-95 -6.932098573080598e-102 1.191690619568008e-84 1.891021715573423e-143 1.891021715573423e-143 7.306858558700012e-142 -4.410013046854479e-91 -2.763226025518652e-143 3.223987466121729e-120 -1.475293422845205e-138 6.889336269080246e-94 -9.077809773143702e-127 0.9080005959577727 -4.296995929269557e-110 -2.224790334641737e-81 1.263086590885298e-60 5.01919322865769e-09 4.165836303747651e-84 7.824561059279869e-85 4.981917041345474e-75 -1.601902576892849e-121 8.744732323009797e-91 1.094134221419361e-83 -2.591559516474994e-89 1.68127150074644e-91 -1.054863574724243e-94 -3.230667654133181e-130 3.987200418410923e-77 7.063074340579076e-84 3.307093666282403e-82 -3.359378824585279e-85 7.501687493033671e-105 1.927337071608285e-96 -2.809988725523229e-140 4.39844107859404e-100 1.122330534027619e-90 1.939137728959e-93 8.76271420108328e-100 3.847126781644717e-100 -1.577391099057954e-138 -2.349021698388552e-104 7.519955977681222e-106 -9.851341389470865e-139 -5.761407849751604e-90 -1.152659042257383e-90 -1.876602348614741e-138 -1.633330350508332e-138 -1.887999895725427e-83 -4.445984427553637e-88 -1.226607459553345e-117 3.47462889283789e-60 -8.219513536319973e-92 -9.699489352791521e-95 2.750428956599153e-93 -7.800723821158055e-100 1.341015178233917e-82 2.127975819657933e-141 2.127975819657933e-141 8.222443033055971e-140 -4.962608864190999e-89 -3.10947151908837e-141 3.627968581369215e-118 -1.660154774987875e-136 7.75260319506677e-92 -1.021530294105934e-124 1.683328544509473e-08
16 6.31999566568391 -4.911075703587036 1.178739808131879 -101325 2.977849743233615e-10 -3.208706823746843e-11 2.133521412494776e-09 1.62842400015701e-12 6.575949506094473e-08 -7.025682410936413e-09 -3.818517365182517e-112 -1.977055753963403e-83 1.122439535016736e-62 0.2707392123178725 3.701962610207135e-86 6.953281495165407e-87 4.427171225528774e-77 -1.423527717475817e-123 7.77098996111035e-93 9.723003216902029e-86 -2.302984498811469e-91 1.494058762647718e-93 -9.374025352329682e-97 -2.870926745452623e-132 3.543218166081257e-79 6.276587752239494e-86 2.938842595930652e-84 -2.985305685427056e-87 6.666360506715361e-107 1.71272447022013e-98 -2.497091205343871e-142 3.908668378282212e-102 9.973569219525756e-93 1.723211102219787e-95 7.786969523300408e-102 3.418741991749171e-102 -1.401745638716728e-140 -2.087453722119633e-106 6.682594761281303e-108 -8.754376030426061e-141 -5.119864268969676e-92 -1.024308293850924e-92 -1.667639153883443e-140 -1.451455949495377e-140 -1.677767562584257e-85 -3.950915714465323e-90 -1.090022416047078e-119 3.087722462558265e-62 -7.304255272386522e-94 -8.619433003124431e-97 2.44416352850956e-95 -6.932098578261503e-102 1.191690620458652e-84 1.891021716986733e-143 1.891021716986733e-143 7.306858564161006e-142 -4.41001305015043e-91 -2.763226027583829e-143 3.22398746853127e-120 -1.475293423947808e-138 6.889336274229191e-94 -9.077809779928265e-127 0.9080005958140059 -4.296995935734561e-110 -2.224790337989024e-81 1.263086592785663e-60 4.900385163012754e-10 4.165836310015321e-84 7.824561071052238e-85 4.981917048840971e-75 -1.601902579302976e-121 8.744732336166601e-91 1.09413422306553e-83 -2.5915595203741e-89 1.681271503275981e-91 -1.054863576311328e-94 -3.230667658993851e-130 3.987200424409827e-77 7.063074351205757e-84 3.30709367125806e-82 -3.359378829639601e-85 7.501687504320264e-105 1.927337074508042e-96 -2.809988729750971e-140 4.398441085211676e-100 1.122330535716211e-90 1.939137731876511e-93 8.762714214267138e-100 3.847126787432875e-100 -1.577391101431203e-138 -2.34902170192275e-104 7.5199559889953e-106 -9.851341404292607e-139 -5.761407858419876e-90 -1.152659043991605e-90 -1.876602351438165e-138 -1.633330352965744e-138 -1.887999898565999e-83 -4.445984434242801e-88 -1.226607461398826e-117 3.474628898065611e-60 -8.219513548686564e-92 -9.699489367384796e-95 2.750428960737284e-93 -7.80072383289456e-100 1.341015180251528e-82 2.127975822859559e-141 2.127975822859559e-141 8.22244304542697e-140 -4.962608871657445e-89 -3.109471523766695e-141 3.627968586827641e-118 -1.660154777485645e-136 7.752603206730875e-92 -1.021530295642868e-124 1.643482896193491e-09
18 6.217390898723485 -15.20231480296413 1.178739808132241 -101325 3.105978896881971e-10 4.517802252961646e-11 2.213207056853549e-09 1.497193687594414e-12 6.857172603151059e-08 9.869544631583842e-09 -3.818517364974249e-112 -1.977055753855571e-83 1.122439534955516e-62 0.2707392123179558 3.701962610005223e-86 6.953281494786164e-87 4.427171225287308e-77 -1.423527717398175e-123 7.77098996068651e-93 9.723003216371721e-86 -2.302984498685861e-91 1.494058762566229e-93 -9.374025351818407e-97 -2.870926745296039e-132 3.543218165888005e-79 6.276587751897158e-86 2.938842595770363e-84 -2.985305685264232e-87 6.666360506351766e-107 1.712724470126715e-98 -2.497091205207676e-142 3.908668378069027e-102 9.97356921898178e-93 1.7232111021258e-95 7.786969522875696e-102 3.418741991562707e-102 -1.401745638640274e-140 -2.08745372200578e-106 6.682594760916823e-108 -8.754376029948583e-141 -5.11986426869043e-92 -1.024308293795057e-92 -1.667639153792487e-140 -1.451455949416212e-140 -1.677767562492749e-85 -3.950915714249834e-90 -1.090022415987626e-119 3.087722462389856e-62 -7.304255271988136e-94 -8.619433002654313e-97 2.444163528376252e-95 -6.932098577883415e-102 1.191690620393655e-84 1.891021716883594e-143 1.891021716883594e-143 7.306858563762477e-142 -4.4100130499099e-91 -2.763226027433118e-143 3.223987468355429e-120 -1.475293423867343e-138 6.889336273853436e-94 -9.077809779433147e-127 0.9080005958142852 -4.296995935266662e-110 -2.224790337746767e-81 1.263086592648126e-60 5.083411378279788e-10 4.165836309561703e-84 7.824561070200222e-85 4.981917048298489e-75 -1.601902579128545e-121 8.744732335214388e-91 1.09413422294639e-83 -2.591559520091905e-89 1.681271503092908e-91 -1.054863576196464e-94 6.960192185041542e-117 3.987200423975661e-77 7.063074350436659e-84 3.307093670897951e-82 -3.359378829273798e-85 7.501687572681858e-105 1.927337074298174e-96 6.757985220980757e-118 4.398441084732731e-100 1.122330535594e-90 1.939137731665358e-93 8.762714213312966e-100 3.847126787014814e-100 9.986136431258505e-119 -2.349021701666965e-104 7.519955988176452e-106 2.895609906018885e-118 -5.76140776128008e-90 -1.152659043866092e-90 8.68699206786116e-118 -1.63333035278789e-138 -1.887999898360415e-83 -4.445984431690684e-88 4.438289296380747e-108 3.474628897687258e-60 -8.21951354779154e-92 -9.699489366328618e-95 2.75042896043779e-93 -7.800723832037044e-100 1.341015180105505e-82 2.127975822627844e-141 2.127975822627844e-141 8.222443044531629e-140 -4.962608871117067e-89 -3.109471523428105e-141 3.86925892016736e-118 2.413302295857118e-119 7.752603205886696e-92 2.413292241210469e-119 1.704865919025379e-09
668 -1.4843695 0 1.178739808655759 -101325.0000458606 2.357479617311518e-07 0 5.817868803472874e-08 -0.005001065989711199 1.163573760694575e-14 0 0 0 0 0.2707392124382001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9080005962175586 -0 -0 -0 1.336278970434791e-08 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 4.481589833038082e-08
125 2.799527302090832 0.1386895749762035 1.178739808368525 -101325 1.438374953969154e-08 2.207318665656579e-11 2.735643491357873e-08 -2.925493329748181e-11 1.569167077473422e-06 4.726591069018861e-09 -3.818517359008896e-112 -1.977055750766981e-83 1.122439533202022e-62 0.2707392123722269 3.701962604221955e-86 6.95328148392363e-87 4.427171218371107e-77 -1.423527715174316e-123 7.770989948546535e-93 9.72300320118228e-86 -2.302984495088099e-91 1.494058760232185e-93 -9.374025337174148e-97 -2.870926740811028e-132 3.54321816035273e-79 6.276587742091766e-86 2.938842591179253e-84 -2.985305680600537e-87 6.666360495937465e-107 1.712724467451068e-98 -2.497091201306677e-142 3.908668371962836e-102 9.973569203400903e-93 1.723211099433771e-95 7.786969510710758e-102 3.41874198622189e-102 -1.401745636450443e-140 -2.087453718744724e-106 6.682594750477161e-108 -8.754376016272349e-141 -5.119864260692092e-92 -1.024308292194865e-92 -1.667639151187273e-140 -1.451455947148723e-140 -1.677767559871712e-85 -3.950915708077647e-90 -1.090022414284775e-119 3.087722457566163e-62 -7.304255260577303e-94 -8.61943298918889e-97 2.444163524557938e-95 -6.932098567053973e-102 1.191690618531976e-84 1.891021713929408e-143 1.891021713929408e-143 7.306858552347578e-142 -4.410013043020503e-91 -2.76322602311636e-143 3.223987463318861e-120 -1.475293421562615e-138 6.889336263090797e-94 -9.077809765251638e-127 0.9080005959962986 -4.296995921788796e-110 -2.224790330768537e-81 1.263086588686356e-60 6.283371096175659e-09 4.16583629649523e-84 7.824561045657871e-85 4.981917032672315e-75 -1.601902574104052e-121 8.744732307785847e-91 1.094134219514552e-83 -2.591559511963275e-89 1.681271497819467e-91 -1.054863572887801e-94 -3.230667648508821e-130 3.987200411469494e-77 7.063074328282771e-84 3.307093660524991e-82 -3.359378818736843e-85 7.501687479973773e-105 1.92733706825293e-96 -2.809988720631241e-140 4.398441070936666e-100 1.122330532073722e-90 1.939137725583101e-93 8.762714185828025e-100 3.847126774947146e-100 -1.577391096311829e-138 -2.349021694299074e-104 7.519955964589519e-106 -9.851341372320388e-139 -5.761407839721408e-90 -1.152659040250686e-90 -1.876602345347711e-138 -1.633330347664821e-138 -1.887999892438555e-83 -4.445984419813498e-88 -1.22660745741791e-117 3.474628886788812e-60 -8.219513522010391e-92 -9.699489335905407e-95 2.750428951810854e-93 -7.800723807577556e-100 1.341015175899306e-82 2.127975815953281e-141 2.127975815953281e-141 8.22244301874129e-140 -4.962608855551453e-89 -3.109471513675003e-141 3.627968575053183e-118 -1.660154772097665e-136 7.752603181570046e-92 -1.021530292327523e-124 2.107306381740332e-08
16 6.31999566568391 -4.911075703587036 1.178739808131879 -101325 2.977849743233615e-10 -3.208706823746843e-11 2.133521412494776e-09 1.62842400015701e-12 6.575949506094473e-08 -7.025682410936413e-09 -3.818517365182517e-112 -1.977055753963403e-83 1.122439535016736e-62 0.2707392123178725 3.701962610207135e-86 6.953281495165407e-87 4.427171225528774e-77 -1.423527717475817e-123 7.77098996111035e-93 9.723003216902029e-86 -2.302984498811469e-91 1.494058762647718e-93 -9.374025352329682e-97 -2.870926745452623e-132 3.543218166081257e-79 6.276587752239494e-86 2.938842595930652e-84 -2.985305685427056e-87 6.666360506715361e-107 1.71272447022013e-98 -2.497091205343871e-142 3.908668378282212e-102 9.973569219525756e-93 1.723211102219787e-95 7.786969523300408e-102 3.418741991749171e-102 -1.401745638716728e-140 -2.087453722119633e-106 6.682594761281303e-108 -8.754376030426061e-141 -5.119864268969676e-92 -1.024308293850924e-92 -1.667639153883443e-140 -1.451455949495377e-140 -1.677767562584257e-85 -3.950915714465323e-90 -1.090022416047078e-119 3.087722462558265e-62 -7.304255272386522e-94 -8.619433003124431e-97 2.44416352850956e-95 -6.932098578261503e-102 1.191690620458652e-84 1.891021716986733e-143 1.891021716986733e-143 7.306858564161006e-142 -4.41001305015043e-91 -2.763226027583829e-143 3.22398746853127e-120 -1.475293423947808e-138 6.889336274229191e-94 -9.077809779928265e-127 0.9080005958140059 -4.296995935734561e-110 -2.224790337989024e-81 1.263086592785663e-60 4.900385163012754e-10 4.165836310015321e-84 7.824561071052238e-85 4.981917048840971e-75 -1.601902579302976e-121 8.744732336166601e-91 1.09413422306553e-83 -2.5915595203741e-89 1.681271503275981e-91 -1.054863576311328e-94 -3.230667658993851e-130 3.987200424409827e-77 7.063074351205757e-84 3.30709367125806e-82 -3.359378829639601e-85 7.501687504320264e-105 1.927337074508042e-96 -2.809988729750971e-140 4.398441085211676e-100 1.122330535716211e-90 1.939137731876511e-93 8.762714214267138e-100 3.847126787432875e-100 -1.577391101431203e-138 -2.34902170192275e-104 7.5199559889953e-106 -9.851341404292607e-139 -5.761407858419876e-90 -1.152659043991605e-90 -1.876602351438165e-138 -1.633330352965744e-138 -1.887999898565999e-83 -4.445984434242801e-88 -1.226607461398826e-117 3.474628898065611e-60 -8.219513548686564e-92 -9.699489367384796e-95 2.750428960737284e-93 -7.80072383289456e-100 1.341015180251528e-82 2.127975822859559e-141 2.127975822859559e-141 8.22244304542697e-140 -4.962608871657445e-89 -3.109471523766695e-141 3.627968586827641e-118 -1.660154777485645e-136 7.752603206730875e-92 -1.021530295642868e-124 1.643482896193491e-09
406 5.512851142902619 5.064669956147472 1.178739808134695 -101325 3.82262788261721e-10 -1.061828623172958e-11 2.752855433048829e-09 2.790711777683958e-12 8.423088263292528e-08 -2.304432772096088e-09 -3.818517363466941e-112 -1.977055753075155e-83 1.122439534512448e-62 0.2707392123185195 3.701962608543924e-86 6.95328149204145e-87 4.427171223539742e-77 -1.423527716836257e-123 7.770989957619014e-93 9.723003212533694e-86 -2.302984497776788e-91 1.49405876197647e-93 -9.374025348118138e-97 -2.870926744162778e-132 3.543218164489366e-79 6.276587749419559e-86 2.938842594610294e-84 -2.985305684085823e-87 6.66636050372031e-107 1.71272446945064e-98 -2.497091204221983e-142 3.908668376526132e-102 9.973569215044848e-93 1.723211101445586e-95 7.786969519801893e-102 3.418741990213205e-102 -1.401745638086954e-140 -2.087453721181786e-106 6.682594758278958e-108 -8.754376026492911e-141 -5.119864266669432e-92 -1.024308293390725e-92 -1.667639153134209e-140 -1.451455948843269e-140 -1.677767561830473e-85 -3.950915712690263e-90 -1.090022415557355e-119 3.087722461171018e-62 -7.304255269104878e-94 -8.619432999251908e-97 2.444163527411451e-95 -6.932098575147062e-102 1.191690619923251e-84 1.891021716137138e-143 1.891021716137138e-143 7.306858560878192e-142 -4.410013048169107e-91 -2.763226026342372e-143 3.223987467082803e-120 -1.47529342328499e-138 6.889336271133962e-94 -9.077809775849803e-127 0.9080005958161758 -4.296995931879919e-110 -2.224790335993265e-81 1.263086591652605e-60 6.322904396940821e-10 4.165836306278336e-84 7.824561064033175e-85 4.981917044371916e-75 -1.601902577865982e-121 8.744732328322095e-91 1.094134222084031e-83 -2.591559518049328e-89 1.681271501767788e-91 -1.054863575365057e-94 -3.230667656095765e-130 3.987200420833089e-77 7.06307434486979e-84 3.307093668291414e-82 -3.359378826626053e-85 7.501687497590837e-105 1.927337072779114e-96 -2.809988727230256e-140 4.39844108126603e-100 1.122330534709419e-90 1.939137730136998e-93 8.762714206406501e-100 3.847126783981791e-100 -1.577391100016196e-138 -2.349021699815548e-104 7.519955982249485e-106 -9.85134139545541e-139 -5.761407853251576e-90 -1.152659042957607e-90 -1.87660234975475e-138 -1.633330351500556e-138 -1.887999896872359e-83 -4.445984430254508e-88 -1.226607460298491e-117 3.474628894948677e-60 -8.219513541313207e-92 -9.699489358683818e-95 2.750428958269998e-93 -7.800723825896881e-100 1.341015179048564e-82 2.127975820950648e-141 2.127975820950648e-141 8.222443038050986e-140 -4.962608867205711e-89 -3.109471520977328e-141 3.627968583573153e-118 -1.660154775996395e-136 7.752603199776364e-92 -1.021530294726499e-124 2.120564993354705e-09
674 -1.4843695 -30 1.178739808721085 -101325.0000514761 2.35747961744217e-07 0 6.504019031280127e-08 -0.005590883787952214 1.300803806256026e-14 0 0 0 0 0.2707392124532046 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9080005962678803 -0 -0 -0 1.493877594767906e-08 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 5.01014143651222e-08
143 2.604767723283961 -30.07108988199865 1.178739808387113 -101325 1.542400276155103e-08 -1.227234292100947e-11 2.943743438599132e-08 -3.410854741366569e-11 1.678711750242747e-06 -2.631169747579752e-09 -3.818517357687901e-112 -1.977055750083029e-83 1.12243953281372e-62 0.2707392123764961 3.70196260294128e-86 6.953281481518179e-87 4.42717121683955e-77 -1.423527714681854e-123 7.770989945858202e-93 9.72300319781866e-86 -2.302984494291393e-91 1.494058759715324e-93 -9.374025333931254e-97 -2.870926739817846e-132 3.543218159126972e-79 6.276587739920414e-86 2.938842590162576e-84 -2.985305679567787e-87 6.666360493631274e-107 1.71272446685856e-98 -2.497091200442822e-142 3.908668370610653e-102 9.973569199950598e-93 1.723211098837635e-95 7.786969508016898e-102 3.418741985039195e-102 -1.401745635965517e-140 -2.087453718022581e-106 6.682594748165352e-108 -8.754376013243819e-141 -5.119864258920902e-92 -1.024308291840511e-92 -1.667639150610362e-140 -1.451455946646599e-140 -1.677767559291297e-85 -3.950915706710848e-90 -1.090022413907687e-119 3.087722456497982e-62 -7.304255258050435e-94 -8.619432986207042e-97 2.444163523712392e-95 -6.93209856465585e-102 1.191690618119717e-84 1.891021713275219e-143 1.891021713275219e-143 7.30685854981981e-142 -4.410013041494883e-91 -2.763226022160436e-143 3.22398746220354e-120 -1.475293421052245e-138 6.889336260707468e-94 -9.077809762111218e-127 0.9080005960106166 -4.296995918811892e-110 -2.224790329227231e-81 1.263086587811305e-60 6.761346094651193e-09 4.165836293609191e-84 7.824561040237114e-85 4.981917029220906e-75 -1.601902572994274e-121 8.744732301727607e-91 1.094134218756549e-83 -2.591559510167875e-89 1.681271496654704e-91 -1.054863572157005e-94 5.034389105540783e-117 3.987200408707212e-77 7.063074323389563e-84 3.307093658233878e-82 -3.359378816409507e-85 7.50168752481429e-105 1.927337066917695e-96 4.888130423328057e-118 4.398441067889483e-100 1.122330531296186e-90 1.939137724239691e-93 8.762714179757328e-100 3.847126772282522e-100 7.223090270986898e-119 -2.349021692671702e-104 7.519955959379789e-106 2.094428799837902e-118 -5.761407765921394e-90 -1.152659039452139e-90 6.283403829042285e-118 -1.633330346533271e-138 -1.887999891130573e-83 -4.445984415237572e-88 3.210266999034357e-108 3.474628884381633e-60 -8.219513516316016e-92 -9.699489329185724e-95 2.750428949905391e-93 -7.800723802167458e-100 1.341015174970267e-82 2.127975814479046e-141 2.127975814479046e-141 8.222443013044885e-140 -4.962608852113421e-89 -3.109471511520801e-141 3.802496717040913e-118 1.745570016407146e-119 7.752603176199141e-92 1.745559917308831e-119 2.267608829134059e-08
